is_admin,id,score,created_at,surveyed_at,sessions,messages
1,1474,9,2017-01-01T00:46:09Z,2017-02-01T00:46:09Z,4,8
1,1129,10,2017-01-01T05:04:09Z,2017-02-01T05:04:09Z,3,8
0,3337,10,2017-01-01T07:20:06Z,2017-02-01T07:20:06Z,9,42
1,1873,1,2017-01-01T07:31:40Z,2017-02-01T07:31:40Z,35,135
0,2720,9,2017-01-01T12:10:27Z,2017-02-01T12:10:27Z,4,13
0,5309,8,2017-01-01T12:18:23Z,2017-02-01T12:18:23Z,21,72
0,3686,4,2017-01-01T13:08:24Z,2017-02-01T13:08:24Z,94,287
1,418,9,2017-01-01T16:26:09Z,2017-02-01T16:26:09Z,5,14
0,3800,2,2017-01-01T16:50:08Z,2017-02-01T16:50:08Z,37,88
0,3397,9,2017-01-01T17:56:27Z,2017-02-01T17:56:27Z,100,204
0,5121,7,2017-01-01T18:26:36Z,2017-02-01T18:26:36Z,30,46
0,4394,4,2017-01-01T19:35:55Z,2017-02-01T19:35:55Z,3,13
0,3432,9,2017-01-01T20:34:13Z,2017-02-01T20:34:13Z,14,40
0,3127,10,2017-01-01T20:50:09Z,2017-02-01T20:50:09Z,7,19
1,1858,5,2017-01-01T22:26:21Z,2017-02-01T22:26:21Z,61,121
1,678,10,2017-01-01T23:49:06Z,2017-02-01T23:49:06Z,41,124
0,2714,9,2017-01-02T00:17:30Z,2017-02-02T00:17:30Z,81,204
0,3795,4,2017-01-02T04:55:36Z,2017-02-02T04:55:36Z,14,38
0,4118,5,2017-01-02T06:04:42Z,2017-02-02T06:04:42Z,48,179
1,210,9,2017-01-02T06:34:09Z,2017-02-02T06:34:09Z,3,11
0,3743,4,2017-01-02T13:13:17Z,2017-02-02T13:13:17Z,59,222
1,2506,6,2017-01-02T13:16:33Z,2017-02-02T13:16:33Z,24,98
0,3564,10,2017-01-02T14:57:48Z,2017-02-02T14:57:48Z,46,123
0,4569,6,2017-01-02T15:18:33Z,2017-02-02T15:18:33Z,148,385
0,4623,5,2017-01-02T15:28:33Z,2017-02-02T15:28:33Z,106,251
0,3649,3,2017-01-02T15:54:46Z,2017-02-02T15:54:46Z,7,19
0,3704,0,2017-01-02T17:25:05Z,2017-02-02T17:25:05Z,4,13
0,2772,10,2017-01-02T19:25:54Z,2017-02-02T19:25:54Z,18,72
1,1437,9,2017-01-02T19:51:47Z,2017-02-02T19:51:47Z,27,73
1,1168,10,2017-01-02T20:36:30Z,2017-02-02T20:36:30Z,5,19
0,5178,8,2017-01-02T23:00:30Z,2017-02-02T23:00:30Z,3,4
0,3937,2,2017-01-02T23:56:55Z,2017-02-02T23:56:55Z,4,17
0,4754,4,2017-01-03T01:37:29Z,2017-02-03T01:37:29Z,13,54
1,760,10,2017-01-03T02:02:20Z,2017-02-03T02:02:20Z,67,225
1,878,9,2017-01-03T02:25:58Z,2017-02-03T02:25:58Z,66,189
0,2791,10,2017-01-03T02:37:38Z,2017-02-03T02:37:38Z,44,166
